frame,total_vehicles,cars,motorcycles,buses,trucks,bicycles,people,total_detections
frame_12284.jpg,24,19,0,5,0,0,1,25
frame_12288.jpg,25,20,1,4,0,0,1,26
frame_12292.jpg,23,18,0,5,0,0,1,24
frame_12296.jpg,24,22,0,2,0,0,1,25
frame_12300.jpg,26,22,0,4,0,0,1,27
frame_12304.jpg,26,20,1,5,0,0,1,27
frame_12308.jpg,33,23,0,9,1,0,1,34
frame_12312.jpg,36,23,1,12,0,0,1,37
frame_12316.jpg,31,20,1,10,0,0,0,31
frame_1232.jpg,37,30,0,6,1,0,1,38
frame_12320.jpg,30,19,0,10,1,0,1,31
frame_12324.jpg,29,19,0,9,1,0,1,30
frame_12328.jpg,32,21,1,9,1,0,1,33
frame_12332.jpg,30,22,1,7,0,0,1,31
frame_12336.jpg,26,19,0,7,0,0,1,27
frame_12340.jpg,24,15,2,6,1,0,1,25
frame_12344.jpg,25,19,0,6,0,0,1,26
frame_12348.jpg,32,22,0,9,1,0,1,33
frame_12352.jpg,27,18,0,8,1,0,1,28
frame_12356.jpg,31,23,0,8,0,0,1,32
frame_1236.jpg,41,33,0,6,2,0,1,42
frame_12360.jpg,31,24,0,7,0,0,0,31
frame_12364.jpg,25,20,0,5,0,0,0,25
frame_12368.jpg,29,24,0,5,0,0,0,29
frame_12372.jpg,32,27,0,3,2,0,1,33
frame_12376.jpg,29,23,0,5,1,0,0,29
frame_12380.jpg,32,26,0,5,1,0,0,32
frame_12384.jpg,35,29,0,5,1,0,1,36
frame_12388.jpg,35,27,0,6,2,0,1,36
frame_12392.jpg,32,25,0,6,1,0,1,33
frame_12396.jpg,32,25,0,6,1,0,1,33
frame_124.jpg,36,26,0,9,1,0,1,37
frame_1240.jpg,42,36,0,4,2,0,1,43
frame_12400.jpg,33,25,0,7,1,0,0,33
frame_12404.jpg,34,24,0,9,1,0,0,34
frame_12408.jpg,31,21,0,10,0,0,0,31
frame_12412.jpg,30,18,1,10,1,0,1,31
frame_12416.jpg,33,23,0,9,1,0,0,33
frame_12420.jpg,35,24,0,10,1,0,0,35
frame_12424.jpg,35,24,0,11,0,0,1,36
frame_12428.jpg,35,22,1,12,0,0,0,35
frame_12432.jpg,29,21,0,8,0,0,1,30
frame_12436.jpg,34,26,0,7,1,0,1,35
frame_1244.jpg,41,34,0,6,1,0,1,42
frame_12440.jpg,35,27,0,8,0,0,1,36
frame_12444.jpg,35,27,0,8,0,0,0,35
frame_12448.jpg,31,25,0,6,0,0,1,32
frame_12452.jpg,31,25,0,6,0,0,3,34
frame_12456.jpg,31,24,0,7,0,0,0,31
frame_12460.jpg,31,23,0,7,1,0,1,32
frame_12464.jpg,27,23,0,4,0,0,2,29
frame_12468.jpg,27,22,0,5,0,0,2,29
frame_12472.jpg,29,20,1,7,1,0,1,30
frame_12476.jpg,28,19,0,8,1,0,1,29
frame_1248.jpg,38,32,0,6,0,0,1,39
frame_12480.jpg,32,23,0,8,1,0,2,34
frame_12484.jpg,27,20,0,6,1,0,1,28
frame_12488.jpg,27,21,0,6,0,0,2,29
frame_12492.jpg,30,21,1,7,1,0,1,31
frame_12496.jpg,26,19,0,6,1,0,0,26
frame_12500.jpg,32,24,2,5,1,0,2,34
frame_12504.jpg,30,20,1,7,2,0,1,31
frame_12508.jpg,34,22,1,10,1,0,2,36
frame_12512.jpg,31,23,0,8,0,0,1,32
frame_12516.jpg,28,15,0,12,1,0,1,29
frame_1252.jpg,40,32,0,6,2,0,1,41
frame_12520.jpg,32,21,0,11,0,0,1,33
frame_12524.jpg,30,19,0,11,0,0,1,31
frame_12528.jpg,29,22,0,7,0,0,1,30
frame_12532.jpg,28,21,0,5,2,0,2,30
frame_12536.jpg,23,16,0,7,0,0,2,25
frame_12540.jpg,26,17,0,9,0,0,1,27
frame_12544.jpg,28,18,0,9,1,0,1,29
frame_12548.jpg,28,17,0,11,0,0,1,29
frame_12552.jpg,26,15,0,10,1,0,1,27
frame_12556.jpg,30,17,0,13,0,0,1,31
frame_1256.jpg,42,34,0,6,2,0,1,43
frame_12560.jpg,29,18,0,11,0,0,1,30
frame_12564.jpg,31,16,0,14,1,0,0,31
frame_12568.jpg,36,21,0,14,1,0,1,37
frame_12572.jpg,32,20,0,11,1,0,0,32
frame_12576.jpg,32,20,0,12,0,0,0,32
frame_12580.jpg,28,19,0,9,0,0,0,28
frame_12584.jpg,32,20,0,12,0,0,1,33
frame_12588.jpg,30,22,0,8,0,0,1,31
frame_12592.jpg,33,23,0,9,1,0,0,33
frame_12596.jpg,34,22,1,11,0,0,1,35
frame_1260.jpg,42,34,0,5,3,0,1,43
frame_12600.jpg,33,22,0,10,1,0,1,34
frame_12604.jpg,33,23,0,9,1,0,2,35
frame_12608.jpg,28,21,1,6,0,0,2,30
frame_12612.jpg,35,26,1,7,1,0,2,37
frame_12616.jpg,36,25,1,9,1,0,2,38
frame_12620.jpg,36,28,1,6,1,0,2,38
frame_12624.jpg,34,27,0,6,1,0,2,36
frame_12628.jpg,35,30,0,4,1,0,2,37
frame_12632.jpg,35,24,0,11,0,0,2,37
frame_12636.jpg,29,23,0,6,0,0,2,31
frame_1264.jpg,41,33,0,5,3,0,3,44
frame_12640.jpg,31,24,0,7,0,0,2,33
frame_12644.jpg,34,27,0,7,0,0,2,36
frame_12648.jpg,34,25,0,9,0,0,2,36
frame_12652.jpg,33,26,0,7,0,0,2,35
frame_12656.jpg,33,25,0,7,1,0,2,35
frame_12660.jpg,31,22,0,8,1,0,2,33
frame_12664.jpg,32,23,0,8,1,0,2,34
frame_12668.jpg,31,22,0,8,1,0,2,33
frame_12672.jpg,26,20,0,6,0,0,2,28
frame_12676.jpg,31,25,0,6,0,0,1,32
frame_1268.jpg,37,31,0,5,1,0,1,38
frame_12680.jpg,27,22,0,5,0,0,1,28
frame_12684.jpg,32,26,0,6,0,0,3,35
frame_12688.jpg,37,31,0,6,0,0,3,40
frame_12692.jpg,32,26,0,6,0,0,2,34
frame_12696.jpg,32,24,1,7,0,0,1,33
frame_12700.jpg,34,23,1,9,1,0,2,36
frame_12704.jpg,31,24,0,7,0,0,1,32
frame_12708.jpg,31,23,0,8,0,0,1,32
frame_12712.jpg,35,26,0,9,0,0,2,37
frame_12716.jpg,34,26,0,8,0,0,2,36
frame_1272.jpg,39,31,0,5,3,0,1,40
frame_12720.jpg,35,26,0,9,0,0,1,36
frame_12724.jpg,31,23,0,7,1,0,1,32
frame_12728.jpg,32,25,0,7,0,0,1,33
frame_12732.jpg,27,18,0,8,1,0,1,28
frame_12736.jpg,33,22,0,8,3,0,0,33
frame_12740.jpg,28,20,0,8,0,0,0,28
frame_12744.jpg,28,18,0,8,2,0,1,29
frame_12748.jpg,30,19,0,9,2,0,1,31
frame_12752.jpg,29,21,0,7,1,0,1,30
frame_12756.jpg,33,22,0,9,2,0,1,34
frame_1276.jpg,39,31,0,7,1,0,1,40
frame_12760.jpg,34,22,0,9,3,0,1,35
frame_12764.jpg,35,25,1,8,1,0,1,36
frame_12768.jpg,34,23,0,9,2,0,1,35
frame_12772.jpg,34,23,0,10,1,0,1,35
frame_12776.jpg,30,19,0,8,3,0,1,31
frame_12780.jpg,31,20,1,9,1,0,1,32
frame_12784.jpg,29,18,0,10,1,0,1,30
frame_12788.jpg,29,19,0,9,1,0,0,29
frame_12792.jpg,28,19,0,8,1,0,1,29
frame_12796.jpg,34,21,1,10,2,0,0,34
